question,answer
WHAT IS THE CAPITAL OF FRANCE?,PARIS
WHAT IS THE LARGEST PLANET IN OUR SOLAR SYSTEM?,JUPITER
WHO WROTE 'ROMEO AND JULIET'?,WILLIAM SHAKESPEARE
WHAT IS THE CHEMICAL SYMBOL FOR WATER?,H2O
WHICH COUNTRY IS KNOWN AS THE LAND OF THE RISING SUN?,JAPAN
WHAT IS THE SQUARE ROOT OF 64?,8
WHO PAINTED THE MONA LISA?,LEONARDO DA VINCI
IN WHICH YEAR DID THE TITANIC SINK?,1912
WHAT IS THE HARDEST NATURAL SUBSTANCE ON EARTH?,DIAMOND
WHAT IS THE SMALLEST PRIME NUMBER?,2
WHAT IS THE TALLEST MOUNTAIN IN THE WORLD?,MOUNT EVEREST
WHICH ELEMENT HAS THE CHEMICAL SYMBOL 'O'?,OXYGEN
WHO DEVELOPED THE THEORY OF RELATIVITY?,ALBERT EINSTEIN
WHAT IS THE CAPITAL CITY OF JAPAN?,TOKYO
WHAT IS THE CURRENCY OF THE UNITED KINGDOM?,POUND STERLING
WHICH PLANET IS KNOWN AS THE RED PLANET?,MARS
WHO WAS THE FIRST PRESIDENT OF THE UNITED STATES?,GEORGE WASHINGTON
IN WHICH YEAR DID WORLD WAR II END?,1945
WHAT IS THE LARGEST OCEAN ON EARTH?,PACIFIC OCEAN
WHO WROTE 'THE ODYSSEY'?,HOMER